,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Maffra Aged Rinded Cheddar,pasteurized cow's milk,Australia,"Gippsland, Victoria","hard, artisan",Cheddar,,"buttery, crumbly and firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy, no ,Maffra Cheese Company Pty Ltd
Maffra Cheshire,pasteurized cow's milk,Australia,"Gippsland, Victoria","hard, artisan",,,crumbly,natural,pale yellow,"mellow, salty, sharp, tart",,yes ,Maffra Cheese Company Pty Ltd
Maffra Dargo Walnut,pasteurized cow's milk,Australia,"Gippsland, Victoria","semi-hard, artisan",Cheddar,,"crumbly, dense, firm and flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",,Maffra Cheese Company Pty Ltd
Maffra Mature Cheddar,pasteurized cow's milk,Australia,"Gippsland, Victoria","hard, artisan",Cheddar,,"creamy, crumbly, firm and smooth",waxed,yellow,"acidic, salty, smooth",,yes ,Maffra Cheese Company Pty Ltd
Maffra Peppercorn Cheddar,pasteurized cow's milk,Australia,"Gippsland, Victoria","semi-hard, artisan",Cheddar,,creamy and firm,natural,yellow,"creamy, spicy",spicy,,Maffra Cheese Company Pty Ltd
Maffra Red Leicester,pasteurized cow's milk,Australia,"Gippsland, Victoria","hard, artisan",,,"buttery, creamy, dense and smooth",,brownish yellow,"creamy, mellow, smooth",,yes ,Maffra Cheese Company Pty Ltd
Maffra Sage Derby,pasteurized cow's milk,Australia,"Gippsland, Victoria","semi-hard, artisan",Cheddar,,firm and smooth,,pale yellow,"creamy, herbaceous, smooth","herbal, sweet",yes ,Maffra Cheese Company Pty Ltd
Maffra Wensleydale,pasteurized cow's milk,Australia,"Gippsland, Victoria","hard, artisan",,,crumbly,natural,pale yellow,"creamy, lemony",,,Maffra Cheese Company Pty Ltd
Maggie's Round,unpasteurized cow's milk,United States,Massachusetts,"semi-hard, artisan",Tomme,,firm and smooth,natural,blue-grey,"buttery, citrusy, nutty, sharp","earthy, fruity, herbal",yes ,Cricket Creek Farm
Magna,unpasteurized cow's milk,Sweden,Oviken ,"firm, artisan, blue-veined",Blue,34%,,mold ripened ,ivory,"full-flavored, salty, sharp",,,Oviken cheese
Mahoe Aged Gouda,cow's milk,New Zealand,Northland ,soft,,40%,chewy and firm,,yellow,"buttery, fruity",,yes ,Mahoe Farmhouse Cheese
Mahon,cow's milk,Spain,"Menorca, Balearic Islands","semi-hard, artisan",,,crumbly and dense,washed,pale yellow,"buttery, fruity, salty","nutty, sweet", no ,Various
Maisie's Kebbuck,unpasteurized cow's milk,"Great Britain, Scotland and United Kingdom",Lanarkshire,"semi-hard, artisan",,29.8%,creamy and crumbly,natural,white,,fresh,yes ,Errington Cheese Ltd.
Majorero,unpasteurized goat's milk,Spain,Canary Islands,semi-hard,,,buttery and creamy,natural,pale white,acidic,"milky, nutty", no ,
Malvarosa(r),pasteurized sheep's milk,Spain,Valencia,"semi-firm, artisan",,,firm and smooth,natural,straw,"buttery, sweet","fresh, rich", no ,
Malvern,unpasteurized sheep's milk,"England, Great Britain and United Kingdom",Severn Valley ,"semi-hard, artisan",,50%,creamy and dense,,ivory,"butterscotch, herbaceous, sweet",,yes ,
Mamirolle,pasteurized cow's milk,Canada and France,"Plessisville, Quebec","semi-soft, artisan",,23%,chewy and supple,washed,ivory,"buttery, fruity, salty, sweet","earthy, pungent", no ,Eco-Delices Inc.
Manchego,pasteurized or unpasteurized sheep's milk,Spain,La Mancha ,semi-soft,,,firm and supple,waxed,pale yellow,"fruity, nutty, sweet, tangy","grassy, pleasant", no ,
Mandolin,pasteurized cow's milk,Australia,South Australia,"semi-hard, artisan, smear-ripened",,45%,"crumbly, soft and supple",leaf wrapped,pale yellow,"creamy, grassy, smooth","grassy, herbal",yes ,Woodside Cheese Wrights
Mango Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy and firm,natural,pale yellow,"fruity, spicy","fresh, fruity",,Sulzberger Käserebellen Sennerei GmbH
Manon,pasteurized goat's milk,Australia,South Australia,"fresh soft, artisan",,45%,creamy and smooth,leaf wrapped,white,"creamy, garlicky, spicy, strong","aromatic, garlicky, spicy, strong",yes ,Woodside Cheese Wrights
Manouri,pasteurized goat's or sheep's milk,Greece,"Central and Western Macedonia, Thessalia ","semi-soft, whey",Feta,36.7%,creamy,rindless,white,"lemony, mild, milky","fresh, lactic",yes ,CHRISTAKIS Greek Cheeses
Manteca ,pasteurized cow's milk,Italy,Basilicata,"semi-soft, artisan",,,"dense, elastic and stringy",natural,pale yellow,buttery,"floral, fruity", no ,Casa Madaio
Manur,cow's or sheep's milk,Serbia,,"hard, artisan",,40%,creamy,natural,,salty,, no ,
Marble Cheddar,pasteurized cow's milk,England and United Kingdom,,"hard, processed",Cheddar,32%,firm and smooth,rindless,golden orange,sharp,, no ,
Marbled Cheese,pasteurized cow's milk,United Kingdom,,"hard, processed",,,firm,rindless,golden orange,"mild, smooth, sweet, tangy",, no ,
Marco Polo,pasteurized cow's milk,United States,"Seattle, Washington","hard, artisan",Cheddar,,creamy and crumbly,cloth wrapped,ivory,creamy,"clean, rich",,Beecher's
Maredsous,cow's milk,Belgium,,soft,,,,,,,, no ,
Margot,pasteurized cow's milk,Italy,Piemonte,semi-soft,,,firm,natural,cream,"bitter, full-flavored",, no ,
Maribo,pasteurized cow's milk,Denmark,Maribo,"semi-hard, artisan",Gouda,35-40%,"creamy, firm and open",waxed,pale yellow,tangy,strong, no ,
Marin French Triple Creme,pasteurized cow's milk,United States,"Petaluma, California",soft,Brie,,fluffy and smooth,bloomy,,sweet,"rich, sweet",,Marin French Cheese
Marisa,pasteurized sheep's milk,United States,Wisconsin,"semi-soft, artisan",,,dense and firm,,white,"mellow, sweet",pleasant,yes ,Carr Valley Cheese Company
Maroilles,pasteurized or unpasteurized cow's milk,France,Picardy and Nord-Pas-de-Calais ,"soft, artisan",,29%,creamy and smooth,washed,ivory,"lemony, mushroomy, nutty, salty, sweet","fermented, pungent, strong", no ,Various
Martha's Heat,cow's milk,Australia,"Mornington Peninsula, Melbourne","hard, artisan",Cheddar,,,,brownish yellow,"smokey , spicy","smokey, spicy",yes ,BoatShed Cheese
Mascares,goat's and sheep's milk,France,Provencale,"fresh soft, artisan",Tomme,,smooth,leaf wrapped,white,,"earthy, floral", no ,
Mascarpone,pasteurized cow's milk,Italy,Lombardy,"fresh soft, processed",,60-75%,"buttery, creamy, smooth and spreadable",rindless,white,"buttery, creamy, mild, milky",fresh,yes ,
Mascarpone (Australian),pasteurized cow's milk,Australia,,"fresh soft, processed",,48.5 g/100g,"buttery, creamy, smooth, soft and spreadable",rindless,ivory,"buttery, creamy, milky, smooth, sweet","fresh, milky, sweet",yes ,"La Casa Del Formaggio, Paesanella Cheese Manufacturers"
Mascarpone Torta,cow's milk,Italy,,soft,Mozzarella,70-75%,creamy,,cream,"smooth, sweet",,yes ,
Mastorazio ,unpasteurized sheep's milk,Italy,Campania,"hard, artisan",,,compact and dense,natural,pale yellow,"herbaceous, nutty, sharp, spicy","herbal, milky", no ,Casa Madaio
Matocq,unpasteurized cow's and sheep's milk,France,,"semi-hard, processed",,50%,chewy,,cream,"acidic, nutty",nutty, no ,
Mature Wensleydale,pasteurized cow's milk,England and United Kingdom,North Yorkshire,"hard, artisan",,48%,crumbly,cloth wrapped,pale yellow,strong,"rich, ripe", no ,Wensleydale Creamery
May Hill Green,pasteurized cow's milk,"England, Great Britain and United Kingdom",Gloucestershire,"semi-soft, artisan",,,runny,leaf wrapped,cream,"creamy, milky",strong,yes ,Charles Martell & Son Limited
Maytag Blue,unpasteurized cow's milk,United States,Iowa,"semi-hard, blue-veined",Blue,,crumbly and dense,rindless,cream,"lemony, savory, tangy","pungent, strong",,Maytag Dairy Farms
McLaren,pasteurized cow's milk,Australia,South Australia,"soft, artisan, soft-ripened",Camembert,35%,"chalky, creamy, soft and soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",yes ,Woodside Cheese Wrights
Medallion,unpasteurized cow's milk,United States,Maine,"soft, artisan",,,creamy and smooth,bloomy,pale yellow,"mushroomy, sweet",rich,yes ,Lakin's Gorges Cheese LLC
Meira,sheep's milk,Iraq,,semi-hard,,,,,,,, no ,
Melange,pasteurized cow's and goat's milk,United States,California,"soft, soft-ripened",Brie,,firm and soft-ripened,bloomy,cream,"piquant, spicy, sweet, tart",goaty,,Andante Dairy 
Melange Brie,pasteurized cow's and goat's milk,United States,California,"soft, soft-ripened",Brie,,"creamy, smooth and soft-ripened",bloomy,ivory,"buttery, creamy, mild, piquant, sweet, tangy","earthy, goaty, mushroom",yes ,Marin French Cheeese Co. 
Melinda Mae,pasteurized cow's milk,United States,"Lebanon, CT","soft, artisan, soft-ripened",Brie,,"creamy, fluffy, runny, smooth and soft",bloomy,ivory,"buttery, mild, piquant, pungent, savory, subtle, sweet","fruity, musty, yeasty",,The Mystic Cheese Company
Melville,pasteurized goat's milk,United States,"Lebanon, CT","fresh soft, artisan, soft-ripened",,,"elastic, oily, soft and supple",,white,"acidic, buttery, mild, sweet, tart",fresh,,The Mystic Cheese Company
Menage,"pasteurized cow's, goat's and sheep's milk",United States,Wisconsin,semi-hard,,,"creamy, dry and firm",waxed,ivory,"full-flavored, strong",pleasant,yes ,Carr Valley Cheese Company
Menallack Farmhouse,cow's milk,England,,hard,,,,,,,,yes ,
Menonita,pasteurized or unpasteurized cow's milk,Mexico,Northern Mexico,semi-soft,Cheddar,51-55%,firm and supple,natural,pale yellow,"buttery, mild, sharp",,,Los Altos Food Products LLC
Meredith Ashed Pyramids,goat's milk,Australia,Victoria,"fresh soft, artisan",,,creamy and soft,ash coated,white,"creamy, smooth",fresh,,Meredith Dairy
Meredith Blue,pasteurized sheep's milk,Australia,"Ballarat, Victoria","soft, semi-soft, artisan, blue-veined",Blue,,creamy,natural,blue,"mild, mushroomy, sweet","fresh, goaty", no ,Meredith Dairy
Meredith Chevre Ash,pasteurized goat's milk,Australia,Victoria,"fresh soft, artisan",,,creamy and soft,ash coated,white,"creamy, smooth","clean, fresh",yes ,Meredith Dairy
Meredith Chevre Dill,pasteurized goat's milk,Australia,Victoria,"fresh soft, artisan",,,creamy and soft,rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",yes ,Meredith Dairy
Meredith Chevre Plain,pasteurized goat's milk,Australia,Victoria,"fresh soft, artisan",,,creamy and soft,rindless,white,"acidic, smooth","clean, fresh",yes ,Meredith Dairy
Meredith Goat Cheese in Extra Virgin Olive Oil,goat's milk,Australia,Victoria,"fresh soft, artisan",,,creamy and soft,,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",,Meredith Dairy
Mersey Valley Original Vintage,pasteurized cow's milk,Australia,Tasmania,hard,Cheddar,,"creamy, crumbly and spreadable",natural,yellow,"buttery, full-flavored, sharp",strong,,Mersey Valley - National Foods
Meteorite ,pasteurized cow's milk,Canada,Quebec,"soft, blue-veined",Blue,37%,creamy and supple,ash coated,straw,mild,,,La Maison Alexis de Portneuf Inc.
Metronome,pasteurized cow's and goat's milk,United States,California,"semi-soft, soft-ripened",,,creamy and firm,natural,pale yellow,"buttery, tart","goaty, grassy, rich",,Andante Dairy 
Mettowee ,pasteurized goat's milk,United States,Vermont ,"fresh soft, artisan",,,creamy and smooth,natural,white,"acidic, creamy, tangy, tart","clean, fresh, subtle",yes ,Consider Bardwell Farm
Meyer Vintage Gouda,cow's milk,New Zealand,Hamilton,"semi-hard, artisan",Gouda,,crumbly,,,"nutty, sharp, spicy",aromatic, no ,
MezzaLuna Fontina,pasteurized cow's milk,United States,Wisconsin ,semi-hard,,,creamy,washed,,"earthy, mild, mushroomy, yeasty",rich,,Emmi Roth USA
Mezzo Secco,pasteurized cow's milk,United States,"Sonoma, California","semi-hard, artisan",Monterey Jack,,creamy and smooth,natural,ivory,milky,spicy,yes ,Vella Cheese Company
Midnight Blue,unpasteurized goat's milk,United States,Colorado,"semi-soft, blue-veined",Blue,,dense and dry,natural,pale yellow,"pungent, sharp, spicy",goaty,yes ,Avalanche Cheese Company
Midnight Moon,pasteurized goat's milk,Netherlands and United States,California,hard,Gouda,,"dense, firm, grainy and smooth",waxed,ivory,"butterscotch, buttery, caramel, nutty, savory, sweet","nutty, sweet",yes ,Cypress Grove Chevre
Miette,pasteurized goat's and sheep's milk,United States,Missouri,"semi-soft, artisan",Brie,,creamy and runny,bloomy,cream,"mushroomy, sweet, yeasty",barnyardy, no ,Baetje Farms LLC
Mi-Ewe,cow's and sheep's milk,United States,California,"semi-hard, artisan",,,crumbly,natural,pale yellow,"buttery, citrusy, nutty, sharp","caramel, rich",yes ,Weirauch Farm and Creamery
Mihalic Peynir,unpasteurized sheep's milk,Turkey,Bursa,"hard, artisan",,45%,"crumbly, grainy and open",,pale yellow,salty,strong,yes ,
Milawa Affine,goat's milk,Australia,North East Victoria,"semi-soft, artisan",,,"creamy, crumbly and smooth",ash coated,white,"acidic, creamy",, no ,Milawa Cheese Company
Milawa Aged Blue,,,North East Victoria,,Blue,,,mold ripened ,blue,,,,
Milawa Blue,pasteurized cow's milk,Australia,North East Victoria,"soft, blue-veined",Blue,,creamy,mold ripened ,blue,"buttery, creamy, sweet",rich,,Milawa Cheese Company
Milawa Brie,pasteurized cow's milk,Australia,North East Victoria,"soft, soft-ripened",Brie,27%,creamy,mold ripened ,pale yellow,"buttery, milky",,,Milawa Cheese Company
Milawa Goats Tomme,goat's milk,Australia,North East Victoria,semi-hard,Tomme,,"creamy, crumbly and dense",natural,yellow,"savory, spicy",earthy,yes ,Milawa Cheese Company
Milawa White,cow's milk,Australia,North East Victoria,soft,,,creamy and open,,,"acidic, yeasty","earthy, yeasty",yes ,Milawa Cheese Company
Milleens,pasteurized cow's milk,Ireland,"Beara Peninsula, Co. Cork ","semi-soft, artisan",,45-50%,"creamy, firm and smooth",washed,pale yellow,"floral, herbaceous, mushroomy, sweet","aromatic, earthy, pungent", no ,Milleens Cheese Ltd.
Millstone,unpasteurized sheep's milk,England,Somerset,"hard, artisan",,,crumbly and dry,natural,pale yellow,,mild,yes ,Wootton Organic Dairy
Mimolette (Boule de Lille),cow's milk,France,Lille ,semi-hard,,40%,firm,natural,orange,"buttery, caramel, nutty, salty",fruity, no ,
Minas cheese,unpasteurized cow's milk,Brazil,Minas Gerais,"semi-soft, artisan",,40-50%,"grainy, open, soft and springy",rindless,white,"bitter, mild, salty, strong",, no ,
Mine-Gabhar,unpasteurized goat's milk,Ireland,County Wexford,"soft, artisan",Blue,,creamy,natural,white,"acidic, sweet","earthy, pungent",yes ,Luc and Anne Van Kampen
Minuet ,pasteurized cow's and goat's milk,United States,California,"soft, soft-ripened",,,creamy and smooth,mold ripened ,white,"sweet, tangy",pleasant,yes ,Andante Dairy 
Mirabo Brie with Walnut,pasteurized cow's milk,Germany,Bavaria,"semi-soft, soft-ripened",Brie,,"creamy, smooth and soft",natural,ivory,"nutty, savory",nutty,,Käserei Champignon
Miss Muffet,pasteurized cow's milk,England,North Cornwall,"semi-soft, artisan",Cornish,,smooth and supple,washed,ivory,creamy,nutty,yes ,Whalesborough Farm Foods
MitiCana(r) de Oveja,pasteurized sheep's milk,Spain,Murcia,"semi-soft, soft-ripened",,13%,"buttery, crumbly and flaky",bloomy,white,"buttery, tangy",buttery,,Forever Cheese
Mladi Trapist,pasteurized cow's milk,Croatia,Dalmatia,"semi-hard, artisan",,50%,crumbly and semi firm,natural,white,"grassy, savory",aromatic,yes ,SIRANA GLIGORA D.O.O
Mobay,pasteurized goat's and sheep's milk,United States,Wisconsin,"semi-soft, artisan",,,soft and supple,plastic,ivory,"earthy, sweet, tangy",goaty,yes ,Carr Valley Cheese Company
Molbo,unpasteurized cow's milk,Denmark,Mols,"semi-hard, artisan",Cheddar,,firm,waxed,pale yellow,"salty, tangy",fresh, no ,
Mona,pasteurized cow's and sheep's milk,United States,Wisconsin,"semi-hard, artisan",,,"crumbly, firm and supple",plastic,pale yellow,"buttery, nutty, savory, sweet",grassy, no ,Wisconsin Sheep Dairy Coop
Monastery Cheeses,pasteurized or unpasteurized cow's milk,"Belgium, Canada, France, Switzerland and United States",,"soft, semi-soft, brined",,,"chalky, creamy, firm and grainy",washed,golden yellow,"meaty, mild, pungent","mild, pungent, strong", no ,
Mondseer,pasteurized cow's milk,Austria,Mondsee,semi-hard,,45%,"creamy, firm, open and smooth",washed,pale yellow,"sour, spicy, sweet",strong, no ,
Monet,goat's milk,Australia,South Australia,"fresh soft, artisan",,22%,creamy and soft,,white,"floral, herbaceous","floral, fresh",yes ,Woodside Cheese Wrights
Montagnolo ,pasteurized cow's milk,Germany,Allgau,"soft, blue-veined",Blue,,creamy and smooth,natural,pale yellow,"buttery, creamy, piquant","aromatic, rich, spicy",,Käserei Champignon
Montasio,unpasteurized cow's milk,Italy,Friuli Venezia Giulia and Veneto,semi-soft,,,creamy,,pale yellow,"mild, smooth","aromatic, pleasant", no ,
Montasio Mezzano,unpasteurized cow's milk,Italy,Friuli Venezia Giulia and Veneto,"semi-hard, artisan",,33%,crumbly and firm,natural,straw,"full-flavored, savory",strong, no ,Cooperativa Agricoltori Val Canale Società Cooperativa Agricola
Montasio Vecchio,unpasteurized cow's milk,Italy,Friuli Venezia Giulia and Veneto,"hard, artisan",,33%,"crumbly, dense and grainy",natural,yellow,sharp,strong, no ,Toniolo Casearia s.p.a.
Montchevre Goat Cheese Log,goat's milk,United States,,"semi-soft, artisan",,,smooth,rindless,white,"creamy, tangy","fresh, rich",,Montchevre Cheese Company
Mont D'or Lyonnais,unpasteurized goat's milk,France,Lyon,"semi-soft, artisan",,,firm,natural,red,salty,strong, no ,
Monte Enebro,pasteurized goat's milk,Spain,Avila,"semi-soft, artisan, blue-veined, soft-ripened",,,"brittle, chalky, dense and runny",mold ripened ,blue-grey,"acidic, lemony, pungent, tangy","barnyardy, goaty, strong", no ,
Monteo,pasteurized cow's milk,Italy,Veneto,"semi-firm, artisan",,,creamy and open,natural,pale yellow,"buttery, milky, smooth","fresh, milky", no ,La Casearia Carpenedo S.r.l.
Montgomery's Cheddar,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Manor Farm, North Cadbury, Somerset","semi-hard, artisan",Cheddar,,crumbly and grainy,natural,yellow,"fruity, nutty, smokey , spicy","grassy, rich, smokey", no ,Village Stores
Mont Saint-Francis,unpasteurized goat's milk,United States,Indiana,"semi-hard, artisan",,,"brittle, firm and supple",washed,golden yellow,"earthy, full-flavored, strong","pungent, stinky", no ,Capriole Goat Cheese
Montsalvat,pasteurized cow's milk,Germany,Landshut,"soft, blue-veined",Blue,35 g/100g,creamy and soft,,ivory,"creamy, mild",,,Bayerische Milchindustrie eG
Mont St-Benoit,pasteurized cow's milk,Canada,Quebec,"firm, artisan",Swiss Cheese,31%,"creamy, elastic, smooth and supple",rindless,,"buttery, creamy, mild, nutty","fermented, mild, nutty",,Abbey de Saint-Benoit-du-lac
Moody Blue,pasteurized cow's milk,United States,Wisconsin,"semi-soft, artisan, blue-veined",Blue,,creamy,natural,pale yellow,"creamy, nutty, subtle, tangy","rich, smokey",yes ,Emmi Roth USA
